Nama Wisata;Kabupaten;Kategori;HTM;Long;Lat;Rating Gmaps;Deskripsi Singkat;Gambar
Pantai Drini;Gunung Kidul;Pantai;IDR 15,000.00;110.5774122;-8.1380747;4,5;Pantai dengan pulau karang kecil di dekat bibir pantai, memiliki pasir putih, air relatif jernih, serta cocok untuk menikmati panorama pesisir Gunungkidul.;assets/img/pantai-drini.jpg
Pantai Indrayanti;Gunung Kidul;Pantai;IDR 10,000.00;110.6120691;-8.1502850;4,5;Pantai populer di pesisir selatan Gunungkidul dengan pasir putih, deretan tebing karst, fasilitas wisata yang cukup lengkap, dan suasana ramai saat musim liburan.;assets/img/pantai-indrayanti.jpg
Pantai Pok Tunggal;Gunung Kidul;Pantai;IDR 10,000.00;110.6213209;-8.1556189;4,5;Pantai pasir putih yang dikelilingi tebing & pepohonan, dengan pohon ikonis yang populer untuk tempat foto.;assets/img/pantai-pok-tunggal.jpg
Pantai Ngandong;Gunung Kidul;Pantai;IDR 15,000.00;110.6060896;-8.1461879;4,6;Pantai berpasir di teluk kecil populer untuk memancing, serta menghadap ke singkapan berbatu & kafe simpel.;assets/img/pantai-ngandong.jpg
Pantai Sadranan;Gunung Kidul;Pantai;IDR 20,000.00;110.6018165;-8.1456680;4,7;Pantai berpasir putih yang dikenal sebagai lokasi snorkeling karena perairannya relatif tenang dan memiliki panorama karang serta biota laut di area dangkal.;assets/img/pantai-sadranan.jpg
Pantai Jungwok;Gunung Kidul;Pantai;IDR 8,000.00;110.7098414;-8.1980306;4,7;Pesisir berangin kencang ini populer untuk olahraga air & memancing lobster, plus naik perahu ke pulau karang.;assets/img/pantai-jungwok.jpg
Pantai Slili;Gunung Kidul;Pantai;IDR 10,000.00;110.7178486;-8.2060028;4,5;Pantai berbatu & berpasir kecil di teluk, dengan pondok, hidangan seafood & penginapan di sekitar.;assets/img/pantai-slili.jpg
Pantai Gesing;Gunung Kidul;Pantai;IDR 15,000.00;110.4633233;-8.1085778;4,4;Pantai pasir putih di tepi tebing curam dengan air hijau cerah untuk berenang & menyantap lobster & sembilang.;assets/img/pantai-gesing.jpg
Pantai Ngrenehan;Gunung Kidul;Pantai;IDR 8,000.00;110.5119281;-8.1214525;4,5;Pantai berpasir di teluk yang dihiasi perahu nelayan lokal & dinaungi oleh tanjung batu kapur berwarna hijau.;assets/img/pantai-ngrenehan.jpg
Pantai Watulawang;Gunung Kidul;Pantai;IDR 15,000.00;110.6074337;-8.1535834;4,6;Pantai bernuansa alami dengan tebing karst dan batu karang besar, menawarkan suasana lebih tenang serta pemandangan laut selatan yang terbuka.;assets/img/pantai-watulawang.jpg
Pantai Baron Indah;Gunung Kidul;Pantai;IDR 15,000.00;110.5479953;-8.1284319;4,2;Pantai teluk yang menjadi salah satu ikon wisata Gunungkidul, dikenal dengan aktivitas nelayan, kuliner hasil laut, dan pertemuan aliran air tawar dengan laut.;assets/img/pantai-baron-indah.jpg
Pantai Sedahan;Gunung Kidul;Pantai;Gratis;110.7105537;-8.1978940;4,6;Pantai yang relatif alami dan cocok untuk wisatawan yang menyukai suasana sepi, garis pantai berpasir, serta panorama karang dan perbukitan pesisir.;assets/img/pantai-sedahan.jpg
Pantai Nguyahan;Gunung Kidul;Pantai;IDR 8,000.00;110.5016847;-8.1185294;4,6;Pantai berpasir putih yang berada dekat kawasan Ngobaran, memiliki suasana tenang, panorama tebing karst, dan cocok untuk menikmati lanskap pesisir.;assets/img/pantai-nguyahan.jpg
Wisata Tanjung Kesirat;Gunung Kidul;Pantai;IDR 8,000.00;110.4247485;-8.0961532;4,7;Hamparan rumput di tebing yang tidak rata dengan panorama matahari terbenam, populer untuk memancing & kemah.;assets/img/wisata-tanjung-kesirat.jpg
Pantai Ngetun;Gunung Kidul;Pantai;IDR 5,000.00;110.6518852;-8.1705406;4,6;Pantai kecil yang tersembunyi di antara perbukitan karst, memiliki karakter alami, pasir putih, serta suasana tenang untuk menikmati pemandangan laut.;assets/img/pantai-ngetun.jpg
Pantai Ngobaran;Gunung Kidul;Pantai;IDR 8,000.00;110.5028313;-8.1183837;4,6;Pantai kecil untuk berenang, berjemur & tempat makan di sekitar di teluk yang dikelilingi tebing rimbun.;assets/img/pantai-ngobaran.jpg
Pantai Wediombo;Gunung Kidul;Pantai;IDR 8,000.00;110.7031968;-8.1872679;4,5;Garis pantai berpasir panjang & lebar, bebatuan karang dengan air tenang & pemandangan perbukitan hijau.;assets/img/pantai-wediombo.jpg
